"Título de trazado: DIM-01-MUL 1000"
"N.º","Fecha Tiempo, GMT-03:00","Temp, °C (LGR S/N: 2338259, SEN S/N: 2338259)","HR, % (LGR S/N: 2338259, SEN S/N: 2338259)","Parado (LGR S/N: 2338259)","Final de archivo (LGR S/N: 2338259)"
1864,11/21/24 03:15:00 AM,19.770,67.322,,
1865,11/21/24 03:20:00 AM,19.674,69.512,,
1866,11/21/24 03:25:00 AM,19.722,71.797,,
1867,11/21/24 03:30:00 AM,19.770,72.995,,
1868,11/21/24 03:35:00 AM,19.817,73.236,,
1869,11/21/24 03:40:00 AM,19.865,73.100,,
1870,11/21/24 03:45:00 AM,19.865,69.488,,
1871,11/21/24 03:50:00 AM,19.698,66.895,,
1872,11/21/24 03:55:00 AM,19.651,69.947,,
1873,11/21/24 04:00:00 AM,19.674,71.672,,
1874,11/21/24 04:05:00 AM,19.722,72.552,,
1875,11/21/24 04:10:00 AM,19.793,72.536,,
1876,11/21/24 04:15:00 AM,19.865,71.795,,
1877,11/21/24 04:20:00 AM,19.793,66.883,,
1878,11/21/24 04:25:00 AM,19.651,67.242,,
1879,11/21/24 04:30:00 AM,19.674,70.010,,
1880,11/21/24 04:35:00 AM,19.674,71.585,,
1881,11/21/24 04:40:00 AM,19.746,71.947,,
1882,11/21/24 04:45:00 AM,19.817,71.786,,
1883,11/21/24 04:50:00 AM,19.841,69.572,,
1884,11/21/24 04:55:00 AM,19.722,65.327,,
1885,11/21/24 05:00:00 AM,19.627,68.240,,
1886,11/21/24 05:05:00 AM,19.651,70.385,,
1887,11/21/24 05:10:00 AM,19.698,71.531,,
1888,11/21/24 05:15:00 AM,19.770,71.603,,
1889,11/21/24 05:20:00 AM,19.817,71.408,,
1890,11/21/24 05:25:00 AM,19.817,67.419,,
1891,11/21/24 05:30:00 AM,19.674,66.150,,
1892,11/21/24 05:35:00 AM,19.627,69.239,,
1893,11/21/24 05:40:00 AM,19.674,70.915,,
1894,11/21/24 05:45:00 AM,19.722,71.594,,
1895,11/21/24 05:50:00 AM,19.770,71.544,,
1896,11/21/24 05:55:00 AM,19.817,70.825,,
1897,11/21/24 06:00:00 AM,19.770,66.434,,
1898,11/21/24 06:05:00 AM,19.651,66.680,,
1899,11/21/24 06:10:00 AM,19.627,69.708,,
1900,11/21/24 06:15:00 AM,19.674,71.294,,
1901,11/21/24 06:20:00 AM,19.722,71.710,,
1902,11/21/24 06:25:00 AM,19.770,71.690,,
1903,11/21/24 06:30:00 AM,19.817,70.913,,
1904,11/21/24 06:35:00 AM,19.722,65.951,,
1905,11/21/24 06:40:00 AM,19.627,67.385,,
1906,11/21/24 06:45:00 AM,19.627,70.030,,
1907,11/21/24 06:50:00 AM,19.674,71.730,,
1908,11/21/24 06:55:00 AM,19.722,72.436,,
1909,11/21/24 07:00:00 AM,19.770,72.416,,
1910,11/21/24 07:05:00 AM,19.817,70.562,,
1911,11/21/24 07:10:00 AM,19.722,66.099,,
1912,11/21/24 07:15:00 AM,19.603,68.413,,
1913,11/21/24 07:20:00 AM,19.627,70.935,,
1914,11/21/24 07:25:00 AM,19.674,72.252,,
1915,11/21/24 07:30:00 AM,19.722,72.696,,
1916,11/21/24 07:35:00 AM,19.793,72.565,,
1917,11/21/24 07:40:00 AM,19.817,69.597,,
1918,11/21/24 07:45:00 AM,19.746,66.193,,
1919,11/21/24 07:50:00 AM,19.793,68.329,,
1920,11/21/24 07:55:00 AM,19.960,70.121,,
1921,11/21/24 08:00:00 AM,20.126,70.883,,
1922,11/21/24 08:05:00 AM,20.317,70.568,,
1923,11/21/24 08:10:00 AM,20.507,69.695,,
1924,11/21/24 08:15:00 AM,20.603,65.330,,
1925,11/21/24 08:20:00 AM,20.507,63.337,,
1926,11/21/24 08:25:00 AM,20.555,65.859,,
1927,11/21/24 08:30:00 AM,20.674,67.425,,
1928,11/21/24 08:35:00 AM,20.793,67.831,,
1929,11/21/24 08:40:00 AM,20.936,67.382,,
1930,11/21/24 08:45:00 AM,21.056,66.214,,
1931,11/21/24 08:50:00 AM,21.008,61.671,,
1932,11/21/24 08:55:00 AM,20.865,61.647,,
1933,11/21/24 09:00:00 AM,20.889,64.272,,
1934,11/21/24 09:05:00 AM,20.984,65.904,,
1935,11/21/24 09:10:00 AM,21.103,66.193,,
1936,11/21/24 09:15:00 AM,21.270,65.685,,
1937,11/21/24 09:20:00 AM,21.437,65.175,,
1938,11/21/24 09:25:00 AM,21.652,64.702,,
1939,11/21/24 09:30:00 AM,21.819,63.346,,
1940,11/21/24 09:35:00 AM,21.772,59.419,,
1941,11/21/24 09:40:00 AM,21.915,67.943,,
1942,11/21/24 09:44:12 AM,,,Registrado,Registrado
